FCS.E4R1.16S_Stalk	ECI.E3R3.16S_Stalk	FFO.E2R2.16S_Leaf	ECM.E2R2.16S_Stalk	FCM.E4R2.16S_Stalk	EFO.E2R1.16S_Leaf	FCI.E3R2.16S_Stalk	ECI.E2R2.16S_Stalk	RZO.E4R3.16S_Root	FCM.E1R2.16S_Stalk	EPE.E3R2.16S_Root	ERA.E4R2.16S_Root	FCS.E2R3.16S_Stalk	FCI.E2R2.16S_Stalk	FCM.E1R3.16S_Stalk	FFO.E4R1.16S_Leaf	FCS.E3R3.16S_Stalk	EFO.E4R1.16S_Leaf	FFO.E3R1.16S_Leaf	FCS.E3R2.16S_Stalk	FCI.E1R3.16S_Stalk	FFO.E3R2.16S_Leaf	EFO.E4R3.16S_Leaf	EPE.E1R1.16S_Root	FCS.E1R3.16S_Stalk	EPE.E2R3.16S_Root	RZO.E3R1.16S_Root	EFO.E1R1.16S_Leaf	ECM.E4R1.16S_Stalk	FCM.E2R3.16S_Stalk	RZO.E4R1.16S_Root	EPE.E2R1.16S_Root	FCM.E3R2.16S_Stalk	FCI.E4R1.16S_Stalk	ECS.E1R1.16S_Stalk	ECM.E2R3.16S_Stalk	ECM.E4R3.16S_Stalk	ECM.E3R1.16S_Stalk	RZO.E4R2.16S_Root	FCM.E3R3.16S_Stalk	FFO.E4R3.16S_Leaf	RZO.E1R1.16S_Root	EPE.E4R2.16S_Root	EFO.E1R2.16S_Leaf	ECI.E3R1.16S_Stalk	FCS.E3R1.16S_Stalk	EFO.E2R2.16S_Leaf	EFO.E1R3.16S_Leaf	FCS.E1R1.16S_Stalk	FCI.E2R1.16S_Stalk	RZO.E2R1.16S_Root	FFO.E3R3.16S_Leaf	FCM.E1R1.16S_Stalk	EFO.E4R2.16S_Leaf	ECM.E2R1.16S_Stalk	FCS.E2R1.16S_Stalk	FCI.E3R3.16S_Stalk	RZO.BK2.16S_Root	RZO.E3R2.16S_Root	FCS.E2R2.16S_Stalk	RZO.BK3.16S_Root	RZO.E2R3.16S_Root	RZO.E3R3.16S_Root	ECS.E1R2.16S_Stalk	ERA.E2R2.16S_Root	EPE.E4R3.16S_Root	ECS.E2R3.16S_Stalk	ECM.E1R2.16S_Stalk	FCI.E1R2.16S_Stalk	ECS.E1R3.16S_Stalk	EFO.E3R1.16S_Leaf	ERA.E3R2.16S_Root	EPE.E1R2.16S_Root	RZO.E1R3.16S_Root	ECM.E4R2.16S_Stalk	EPE.E4R1.16S_Root	ECI.E1R2.16S_Stalk	RZO.BK4.16S_Root	FCM.E2R1.16S_Stalk	ERA.E4R1.16S_Root	FCI.E4R2.16S_Stalk	FFO.E4R2.16S_Leaf	ERA.E2R1.16S_Root	FCM.E4R3.16S_Stalk	FCS.E1R2.16S_Stalk	ECI.E4R2.16S_Stalk	ERA.E2R3.16S_Root	ECI.E1R1.16S_Stalk	EPE.E3R3.16S_Root	ECI.E2R3.16S_Stalk	EFO.E3R3.16S_Leaf	ECM.E1R3.16S_Stalk	RZO.E1R2.16S_Root	ECM.E1R1.16S_Stalk	FCI.E2R3.16S_Stalk	FCM.E4R1.16S_Stalk	FCI.E1R1.16S_Stalk	ERA.E1R1.16S_Root	FCI.E3R1.16S_Stalk	ERA.E3R1.16S_Root	EFO.E3R2.16S_Leaf	ERA.E3R3.16S_Root	ECI.E3R2.16S_Stalk	ECI.E4R3.16S_Stalk	FCM.E2R2.16S_Stalk	ECS.E2R1.16S_Stalk	ECS.E3R1.16S_Stalk	ECM.E3R3.16S_Stalk	ERA.E1R3.16S_Root	RZO.BK1.16S_Root	ECI.E1R3.16S_Stalk	ERA.E4R3.16S_Root	FCM.E3R1.16S_Stalk	FCS.E4R3.16S_Stalk	ECS.E2R2.16S_Stalk	EPE.E1R3.16S_Root	ERA.E1R2.16S_Root	EPE.E2R2.16S_Root	EFO.E2R3.16S_Leaf	FCI.E4R3.16S_Stalk	EPE.E3R1.16S_Root	RZO.E2R2.16S_Root	ECS.E4R2.16S_Stalk	ECI.E4R1.16S_Stalk	FCS.E4R2.16S_Stalk	FFO.E2R3.16S_Leaf	ECM.E3R2.16S_Stalk
OTU_2884	3369	16	0	1	3	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	25	0	0	30	1	0	0	0	1216	0	1	0	0	46	0	0	0	0	1	0	0	1	7	2	0	3	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	14	18	0	0	36	6	0	0	0	230	0	0	4	0	0	0	2	0	0	0	4	2	0	3	0	0	0	0	1	0	0	9	9	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	20	2	0	0	1	1	1	0	1033	71	0	0
OTU_1036	603	1	0	2	13	0	9	0	8	0	0	0	1	0	0	54	9	2	0	0	21	0	0	6	0	4	8	0	14	0	1	2	289	257	0	0	0	0	2	248	1	1	121	1	0	2	0	0	0	7	1	0	0	0	0	0	25	1	3	1	0	3	4	0	3	4	0	1	70	1	0	11	26	4	0	6	0	0	3	12	63	0	2	116	1	1	5	0	4	0	0	5	0	0	62	10	19	0	255	2	0	1	0	53	1	0	0	0	1	0	0	3	77	0	0	57	3	5	0	5	3	1	0	55	15	0	0
OTU_183	845	1423	14	111	358	1	590	41	1	297	17	2	68	230	20256	47	9187	7	17	1362	31648	10	5	10	123	0	25	29	388	8	11	15	6415	2191	1	47	326	655	2	6692	29	0	63	10827	291	1804	5	0	38	5785	1	21	7	4	197	76	556	17	11	19221	0	32	2	568	2	9	36	948	44	105	0	32	71	2	369	179	20	0	2014	135	1463	85	4	353	41	270	20	61	57	438	3	416	10	41	1311	112	622	0	994	87	7	2	882	3220	16745	3	2827	591	12	0	184	2	1721	11586	168	19	2	14	85	2114	114	25	807	303	652	18	656
OTU_778	1266	159	1	44	235	0	242	85	0	9	1	0	26	1	2	40	5952	1	3	1567	21	2	6	0	8	0	0	0	3585	2	0	0	3785	963	2	0	27	1	0	5002	1	0	3	0	11	1583	0	0	5	59	0	2	2	0	19	2	389	0	0	964	0	0	0	1	0	5	0	7	5	0	0	0	0	0	27	87	1	0	22	1	1210	1	0	219	2	14	0	11	0	99	1	2	1	0	1	124	3	0	480	2	0	0	40	58	148	0	17	88	0	0	0	0	1531	711	99	0	0	0	2	477	9	0	20	246	630	3	8
OTU_2324	2250	121	0	5	59	4	95	4	2	5	0	6	6	12	1	0	2745	0	1	1317	292	1	5	46	9	85	7	31	48	1	18	4	579	66	0	7	18	2	0	532	2	3	15	104	160	263	10	0	32	2157	11	0	2	12	3	3	123	2	4	374	0	10	0	92	27	7	22	214	105	1084	0	28	308	19	33	15	22	1	787	19	251	1	78	361	16	7	32	17	2	14	1	908	16	9	102	79	731	1	602	21	0	3	28	989	171	0	11	101	12	5	124	15	294	60	1	193	4	32	12	56	75	20	13	176	1079	0	16
OTU_11095	727	7	26	9	3	1	1	2	1	0	4	31	0	2	0	86	25	7	0	216	119	1	1	44	0	0	1	8	8	0	20	0	10	26	0	3	114	44	1	5	6	0	5	3	4	81	1	136	16	0	1	0	426	0	0	1	4	175	0	40	0	9	13	9	0	0	0	9	186	5	0	1	2	29	3	5	11	94	0	0	22	4	3	8	1	4	0	1	0	13	0	1	77	5	2	10	0	103	2	12	1	12	4	1	5	51	319	1	554	67	8	14	25	3	14	4	12	16	0	18	14	8	2	74	53	0	0
OTU_31	23046	812	38	78	544	19	907	1894	143	435	42	81	110	79	209	90	51487	9	27	12196	16485	2745	23	27	828	193	35	469	5937	7	198	61	14286	2496	18	30	3549	783	16	12017	136	88	2489	805	189	20106	61	4	385	193	35	68	383	40	154	107	634	1	19	15103	0	7	5	167	197	37	46	554	1779	452	2	786	833	184	370	4777	2125	1	81	352	3080	70	201	2479	95	2874	125	124	21	1493	1	633	572	95	755	274	837	143	5287	46	7	23	107	897	2188	66	3592	590	352	12	170	33	2969	5905	120	936	472	1417	56	4816	49	53	473	3427	6690	18	252
OTU_9233	306	10	767	1	4	18	9	4	0	4	0	19	0	13	2	647	483	3	132	989	106	9	54	0	5	0	0	4	0	0	3	0	23	35	0	1	1	35	0	26	2194	1	0	4	0	189	1	6	14	4	1	92	436	1	2	0	2	334	0	47	0	5	0	0	1	0	0	8	255	0	0	0	0	2	23	1	0	9	2	2	41	500	1	9	5	18	1	3	0	23	0	1	15	0	0	2	259	4	3	7	7	5	5	5	84	0	107	0	10	20	0	6	51	10	21	0	1	0	9	19	9	4	10	3	47	3	2
OTU_1837	839	14	193	13	22	0	4	30	22	24	14	266	1	35	2	95	1434	5	9	1860	381	5	2	371	5	6	25	55	18	1	160	24	41	53	5	4	114	48	37	20	52	62	98	53	28	401	6	1353	1065	26	63	9	3858	2	95	2	32	1400	55	159	0	61	66	12	5	16	1	25	1863	29	0	259	136	286	20	33	454	768	18	67	32	14	38	24	45	14	36	232	13	75	0	24	627	27	130	36	120	950	18	86	1	211	2	4	9	401	345	5	5204	629	3	159	41	51	20	82	750	1729	3	14	107	102	10	91	59	12	0
OTU_712	1774	99	9	24	136	0	32	12	0	1	6	1	2	8	0	3	489	7	23	526	631	45	380	0	4	0	0	0	106	3	0	0	383	203	0	129	172	38	0	354	80	0	1	0	8	598	0	0	3	3	0	1	5	1	46	1	174	6	0	118	0	3	2	62	0	20	59	117	4	17	0	9	0	1	51	5	3	0	1	0	371	9	0	926	1	46	0	9	0	76	3	27	0	78	23	280	3	2	433	7	6	1	40	134	631	3	111	16	0	24	2	0	441	22	40	0	0	1	73	363	3	0	1	424	947	4	11
OTU_6205	3061	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	35	0	0	0	0	153	0	0	0	0	53	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	5	10	0	0	0	31	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	929	67	0	0
OTU_107	178	0	2	10	12	0	14	18	0	8406	0	0	5	156	1466	45	645	0	4	428	284	1	0	36	12678	1	0	5	4	4	0	0	64	17	4	39	31	7	0	69	4	0	0	34	1	292	0	10	2225	3098	0	3	15602	0	923	2974	34	3	1	135	0	0	0	447	0	0	52	798	562	29	0	1	28	2	4	19	14	0	1081	0	47	6	0	58	10994	136	0	15	0	5	0	19	0	14	542	10	435	0	73	1	1	0	2	7	32	1335	18	5	0	0	14	0	77	408	4	53	0	367	0	29	0	0	1	5	73	1	188
OTU_11285	1466	10	41	75	4	0	9	1	0	0	0	0	5	105	2	21	27	0	0	554	17	0	0	0	0	0	0	0	1	10	0	0	267	1042	0	10	43	26	0	210	40	0	0	0	9	3172	0	0	0	10	0	14	9	0	4	19	5	0	0	27	0	0	0	0	0	0	27	0	5	6	0	0	0	0	6	0	0	0	4	0	3766	83	0	2703	0	37	0	1	0	30	0	0	0	14	2	111	0	0	69	0	0	0	12	106	1063	53	182	1	0	1	1	0	5413	56	39	0	0	0	0	2036	0	0	0	51	555	1	0
OTU_129	1366	23	35	92	66	0	200	4	0	3	0	0	29	111	44	28	791	0	1	503	498	1	0	0	16	0	0	0	5	8	0	0	4939	1032	0	17	66	19	0	3861	36	0	0	0	17	2731	0	0	4	257	0	22	12	0	29	501	89	0	0	600	0	0	0	0	0	0	23	7	6	61	0	0	0	0	19	0	0	0	74	0	3483	73	0	2344	2	31	0	4	0	44	0	1	0	23	37	103	0	0	1157	0	1	0	9	125	940	51	197	7	0	2	0	0	4934	798	68	0	0	0	0	1936	0	0	1	76	537	3	3
OTU_7179	1178	6	14	15	24	0	1	16	1	1	2	22	0	2	0	113	73	12	0	149	689	1	1	17	0	1	1	10	29	0	10	2	56	51	0	1	134	54	6	37	7	7	7	33	4	75	5	102	31	0	2	0	241	0	3	1	41	105	3	313	0	3	4	17	0	3	0	62	121	10	0	11	14	23	5	0	16	50	1	4	29	1	3	5	5	2	5	12	3	16	0	16	54	0	9	12	8	60	12	8	1	12	0	3	8	29	418	1	364	42	3	8	33	15	15	13	24	75	0	24	13	9	2	110	83	1	1
OTU_6275	6378	13	0	0	2	0	0	0	1	0	2	4	0	1	0	69	1	2	0	2	0	0	0	6	0	0	0	0	295	0	16	0	2	33	0	0	1	6	0	0	0	13	0	0	0	8	0	1	3	0	0	0	0	0	1	0	7	2	1	0	0	10	3	0	3	0	0	0	48	12	0	18	2	70	0	1	0	0	1	7	1	0	0	184	0	0	0	0	0	0	0	0	183	0	3	9	10	43	61	9	0	4	0	29	2	3	2	0	31	1	0	13	0	1	0	0	15	1	0	5	7	11	0	10	1299	0	0
OTU_241	3273	323	10	100	142	0	610	53	5	1008	90	11	64	36	8988	47	13927	1	12	3383	4792	1	2	132	126	44	4	0	178	2	17	0	8368	327	9	1	467	17	0	8054	41	13	4	4	200	3032	0	0	850	1352	30	61	19986	0	1	30	135	797	3	3455	0	21	2	0	8	103	0	42	1527	450	4	9	179	15	143	55	99	250	512	20	1789	31	68	380	951	167	55	199	1	94	0	499	16	0	912	24	3476	6	816	5	2	4	3	661	443	17	30	404	32	357	140	5	2620	2024	245	292	21	983	0	578	87	13	438	173	1219	0	191
OTU_7114	1160	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	16	0	0	0	0	111	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	431	30	0	0
OTU_11068	378	5	0	14	26	0	96	2	0	1	44	1	10	13	4	1	650	0	2	439	151	0	0	1	0	1	0	1	17	1	28	0	1248	59	0	14	0	4	0	1615	33	0	7	0	3	700	0	0	1	6	0	2	29	0	0	2	55	4	0	74	0	7	2	0	0	12	1	0	102	6	0	4	3	4	2	188	0	0	1	7	1050	0	1	1882	3	19	1	0	0	11	0	1	8	3	10	67	7	5	1177	3	0	8	4	12	130	11	9	2	16	5	1	4	1212	25	8	0	1	5	0	164	3	12	0	83	281	0	0
OTU_7700	3738	109	8	28	4	0	12	2	0	8	0	0	0	956	85	78	4	0	0	40	22	0	1	0	11	0	0	0	6	2	0	0	125	259	0	2	14	7	0	127	21	0	0	0	65	154	1	1	0	50	0	1	2977	1	16	22	6	0	0	24	0	4	0	0	0	0	0	0	28	38	0	0	0	24	19	0	16	0	8	0	1220	4	0	370	2	8	0	1	0	50	0	2	0	3	8	56	72	0	19	0	0	0	25	1191	250	464	80	0	2	0	72	0	1982	15	34	0	0	0	0	95	3	0	0	48	341	0	0
OTU_6377	1185	1	0	0	0	0	0	0	349	0	2	41	0	0	0	0	1	0	0	0	9	0	0	8	0	1	55	0	114	0	197	0	0	1	0	0	0	0	101	0	0	315	52	0	0	0	0	0	0	4	85	0	0	0	0	0	4	8	22	0	0	97	87	0	211	208	0	0	47	0	0	485	196	190	0	21	0	7	1	201	0	0	71	0	0	0	201	0	15	0	0	0	236	0	231	1	18	136	1	30	0	169	0	1	0	0	0	0	22	4	0	71	0	0	0	36	260	28	0	0	11	163	0	249	2	0	0
OTU_2555	385	6	6	12	59	0	606	4	0	3	0	0	16	132	66	18	103	0	1	16	3750	0	0	0	13	0	0	0	3	0	0	0	2060	229	0	2	3	3	0	2176	2	0	0	0	13	23	0	0	8	3110	1	0	187	0	112	6330	20	0	1	672	0	4	0	0	0	0	0	4	2	4	0	0	0	1	0	0	7	0	1055	0	296	0	0	45	4	0	2	2	0	5	0	11	0	0	173	2	60	0	70	0	0	0	3	379	122	60	25	1	0	0	5	0	448	34	15	0	0	0	0	32	2	0	3	8	39	4	0
OTU_2373	254	0	0	0	4	0	0	9	7	2	150	293	0	44	2	0	9	0	0	65	41	0	0	405	13	1	28	4	0	0	20	62	0	5	0	0	0	0	12	0	0	34	124	13	7	91	0	0	9	66	43	0	2094	0	31	0	8	3	14	0	0	76	23	2	109	12	0	0	158	423	0	493	217	24	0	2	3	3	28	48	0	0	387	5	40	0	360	9	22	15	0	239	42	0	35	8	458	178	1	824	0	228	0	10	3	45	0	0	103	0	1	113	0	0	0	197	159	374	1	13	383	76	1	43	0	0	0
OTU_4229	594	79	0	0	6	1	17	2	10	46	10	7	0	46	1	25	2264	0	15	954	7	0	0	6	2	0	42	0	30	0	5	0	45	3	0	0	109	0	3	7	0	0	768	0	11	199	0	0	2	18	6	21	82	0	18	2	7	8	1	40	0	4	1	2	1	48	0	7	15	12	0	9	1	1	12	23	13	1	1	8	11	0	33	15	3	11	4	6	52	3	1	6	1	0	20	3	0	0	63	70	0	6	8	20	4	0	14	1	0	0	1	4	2	14	8	3	1	1	10	209	899	3	15	20	91	0	17
OTU_44	3821	2405	6119	42	53	57	233	185	0	51	4	42	13	280	1550	4592	2673	18	9567	2648	2480	1148	536	15	67	8	0	295	1479	2	3	0	1463	769	2	886	536	1479	0	1442	10954	0	148	432	999	4391	28	191	185	474	0	1391	4781	51	66	2	48	10	0	346	0	0	2	86	7	8	1818	191	1945	1463	14	6	29	11	1204	1425	951	0	149	2	1280	15795	37	247	89	644	2	68	1	3237	9	822	3	55	44	30	153	439	243	81	100	10	258	4850	602	96	7439	147	3822	0	166	3	1291	864	49	28	528	918	163	1415	14	0	732	595	1958	888	101
OTU_317	734	518	25	12	365	0	89	39	589	47	174	549	5	21	14	73	3318	0	23	498	3758	106	0	650	31	114	770	29	28	1	691	132	1397	959	1	7	8	240	665	1396	111	654	3787	85	13	290	6	24	898	378	565	16	66	1	122	3	471	697	582	206	0	308	172	343	262	510	2	764	2120	86	1	1628	1826	986	85	226	538	1004	143	1526	378	7	664	1194	64	71	642	177	389	26	1	180	2606	1	2355	271	993	480	2266	244	1	321	6	89	283	38	863	71	1322	4628	6	358	402	645	4	1118	2440	3228	0	230	384	252	133	212	860	13	6
OTU_3087	12873	42	0	1	30	0	1	3	21	0	0	2	2	0	0	84	27	6	0	7	0	0	0	7	6	0	2	0	2836	0	15	0	1	64	0	0	0	1	11	0	0	103	1	0	0	14	0	1	3	8	14	0	0	0	23	1	46	6	4	4	0	14	2	0	76	4	0	0	73	21	0	207	14	130	0	11	22	0	1	41	1	0	19	359	4	0	24	0	0	0	0	0	321	0	14	26	83	71	645	11	0	8	0	87	0	8	0	1	59	0	0	16	0	18	0	1	225	13	0	3	5	41	0	19	2185	0	0
OTU_7730	1493	3	0	0	12	0	6	6	0	0	0	0	1	0	1	30	13	0	4	1	64	0	0	3	0	0	3	0	22	0	1	0	81	233	0	0	0	0	1	83	6	0	32	0	0	5	0	0	0	5	0	3	0	0	21	0	5	2	1	4	0	1	0	0	1	5	0	0	44	0	0	0	1	1	0	2	9	0	3	4	22	1	0	434	1	0	3	0	0	2	0	0	4	0	5	6	18	0	440	5	0	0	0	191	42	1	0	0	1	0	0	0	36	1	0	1	1	5	0	7	0	0	0	0	369	0	0
OTU_2405	398	14	1	15	7	0	34	11	22	354	154	88	2	132	389	6	161	0	4	170	867	0	4	52	38	2	105	1	57	0	45	10	472	199	0	3	12	232	51	389	42	8	38	0	15	270	0	0	12	866	34	5	212	1	352	4160	9	418	8	216	0	48	48	36	15	22	12	72	113	24	1	55	73	14	12	48	129	1	304	30	265	0	39	210	213	18	163	0	6	44	0	24	21	1	38	8	201	38	76	108	0	126	6	79	147	452	1198	2	41	58	166	63	398	24	19	11	37	88	2	91	52	43	2	20	89	0	18
OTU_225	271	525	5	27	25	0	28	3	1	11	10	1	4	97	803	16	395	2	1	514	1290	0	4	4	6	0	1	14	23	2	3	0	306	956	2	15	119	242	0	284	7	0	3	457	106	620	0	0	8	261	0	8	2	0	12	2	28	7	0	818	0	27	1	32	0	0	10	44	26	43	0	0	5	1	138	67	0	0	96	11	637	37	1	121	3	109	1	4	2	169	0	28	3	9	67	47	28	0	43	26	0	0	289	1288	6160	1	1053	27	3	0	69	0	646	803	64	0	0	0	32	812	50	3	47	92	248	1	28
OTU_286	182	519	35	32	392	0	267	160	185	10	48	242	4	48	26	147	1873	11	17	631	38496	3	86	127	47	72	81	104	113	2	752	34	220	215	56	45	66	55	137	288	149	64	1120	339	104	569	164	12	51	157	60	50	544	9	964	20	441	617	102	307	0	110	264	967	99	1028	34	1745	1639	581	5	458	2198	148	74	242	1006	94	56	647	88	23	183	428	19	81	101	27	129	208	4	736	373	46	302	516	348	107	478	110	13	316	170	25	170	1082	183	59	606	575	229	168	120	90	13	164	260	4676	9	264	67	261	48	431	321	3	28
OTU_1866	180	0	0	0	0	0	0	0	7	14	0	9	0	2	0	0	24	0	0	2	121	0	0	4	0	0	2	0	5	0	1	1	0	2	0	0	0	199	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	3	0	14	0	0	16	3	0	0	16	1	1	32	0	0	0	0	21	0	0	4	3	0	4	9	0	9	0	0	0	1	0	3	0	11	2	0	1	1	21	0	0	1	0	1011	1	6	0	0	19	0	61	0	0	10	3	0	0	6	1	44	0	4	0	1
OTU_2901	2427	10	1	2	14	0	5	73	0	0	0	0	0	7	0	0	99	0	0	69	858	0	0	0	0	0	0	0	177	0	0	1	22	998	1	0	148	1570	0	7	0	0	0	0	9	1501	0	0	0	0	0	3	0	0	0	1	58	0	0	32	0	0	0	0	0	0	0	0	2	1	0	0	0	0	25	0	1	0	0	0	13	0	0	1782	0	2	0	9	0	216	0	0	0	14	73	98	1	0	950	0	0	0	0	9500	42	2	7054	0	0	0	0	0	26	5	1	0	0	0	0	295	0	0	0	159	2595	0	1
OTU_12992	157	1	0	1	1	0	1	0	16	3	1	9	3	7	0	3	1	0	0	34	1	0	1	12	0	3	4	0	0	0	10	14	47	118	0	1	9	7	9	109	2	6	6	0	0	33	0	1	0	3	1	0	3	0	0	0	13	287	20	1	0	9	17	1	11	37	0	0	31	3	0	79	39	28	4	8	2	95	1	17	39	7	4	13	0	0	9	0	2	0	0	0	38	0	3	17	4	9	17	8	0	41	0	0	6	0	83	0	34	99	0	13	89	0	0	1	4	15	0	6	16	12	0	13	32	0	3
OTU_228	3117	137	4	18	9	2	12	33	3	8	13	33	3	16	5	12	734	0	0	1726	304	48	3	26	18	5	2	66	116	1	37	4	262	374	4	9	556	207	1	173	39	5	47	11	81	3013	0	0	4	2	0	17	60	9	2	4	12	5	2	225	0	3	1	2	3	2	15	13	279	57	0	14	20	53	67	785	30	5	2	8	475	9	3	411	2	569	7	3	0	302	0	11	119	23	14	31	18	32	103	28	4	42	28	215	335	7	1028	10	80	2	28	24	506	103	18	30	11	23	11	790	24	12	5	708	1078	0	8
OTU_4056	1232	197	0	1	0	0	0	1	0	0	49	0	0	0	0	9	173	0	0	364	0	173	0	0	10	0	0	0	68	0	0	0	7	7	0	4	61	1	0	3	25	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	45	1	1	0	0	0	8	2	0	97	0	32	0	1	0	2	0	2	0	4	0	0	0	0	22	0	0	0	159	4	0	0	0	151	0	0	1	0	1	169	0	0	0	0	278	2	0	0	15	500	736	6	0
OTU_3454	361	140	3	2	263	0	37	31	445	12	64	165	1	8	25	22	129	0	29	27	1212	6	10	84	10	114	138	1	103	0	630	70	233	58	0	4	20	6	182	142	79	146	868	10	49	170	3	1	11	85	92	8	27	2	46	0	332	1328	240	33	0	109	152	18	121	371	18	38	316	68	1	1185	430	148	4	269	37	283	22	960	46	17	175	115	1	86	201	6	71	23	0	66	668	0	111	183	247	125	319	113	0	331	94	10	4	35	41	30	170	794	1	203	40	29	12	221	357	458	1	67	51	105	6	41	80	2	31
OTU_10191	582	0	0	0	9	0	0	0	1	0	0	0	1	0	0	40	0	1	0	0	0	0	0	13	0	2	0	2	1050	0	0	0	0	1	1	0	265	1	0	0	0	1	0	2	0	0	0	0	1	2	0	0	0	0	0	0	17	0	0	0	0	0	0	3	0	0	0	14	2	0	0	0	67	0	0	0	0	0	2	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	3	5	0	13	0	0	0	0	0	0	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	6	0	0	39	96	0	0
OTU_8171	266	65	1	0	0	0	1	0	1	1	1	10	0	0	0	0	32	0	0	35	9	0	0	39	0	4	0	1	1	0	35	1	8	546	0	0	1	24	0	8	0	0	26	1	4	20	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	10	2	6	2	0	0	10	54	7	0	8	76	36	6	40	0	0	0	3	28	0	0	427	1	6	1	0	1	6	0	0	57	0	1	43	2	9	196	12	0	15	0	58	139	0	59	0	23	0	0	21	29	1	0	1	1	17	0	5	80	15	1	131	57	0	3
OTU_113	11572	364	46	221	129	2	440	23	0	374	0	0	35	3370	3125	424	131	10	0	390	1097	0	7	0	385	2	0	0	337	14	1	0	4341	2930	4	32	89	87	0	3925	82	0	1	2	365	677	2	1	45	1577	2	4	8985	2	493	1420	151	0	0	801	0	23	0	1	0	0	1	8	131	307	0	0	0	54	224	0	582	0	541	0	6036	16	0	1430	117	65	0	27	0	323	0	60	0	63	253	242	2637	0	598	0	3	0	123	8251	1938	1936	429	11	6	2	420	0	9744	478	302	1	0	11	0	585	15	3	18	267	1227	2	3
OTU_954	402	22	1	9	5	0	39	2	0	19	0	0	4	93	218	7	14	0	0	7	99	0	0	0	33	0	0	0	29	0	0	0	357	26	1	1	4	3	0	286	3	0	0	0	12	10	0	0	4	115	0	0	336	0	24	107	8	0	1	60	0	0	0	0	0	0	0	0	2	4	0	0	0	1	5	0	44	0	48	0	156	0	0	37	12	2	0	3	0	13	0	4	0	2	21	5	176	0	49	0	0	0	4	182	29	85	19	1	1	0	21	0	234	21	8	0	0	1	0	12	0	0	0	11	41	0	0
OTU_71	447	115	10	72	699	7	61	315	164	58	496	135	43	15	6	31	31755	10	27	11077	436	12	1	833	28	97	733	4483	44	0	606	4	6132	255	1	24	76	960	407	5717	85	781	3464	4339	27	1237	103	2	21	75	137	4	339	10	1138	34	945	2	36	3390	0	27	25	9900	73	155	4	15866	2549	298	12	89	4902	1996	103	365	4307	1	35	738	1151	22	156	69	55	61	82	16	1076	207	1	875	3526	9	142	226	2960	483	103	108	12	10	19	14	48	447	4604	399	2422	7	91	44	1113	59	288	439	2163	28474	5	961	1957	128	19	175	348	10	17
OTU_43	1007	94	14	171	129	0	515	170	0	40156	0	0	34	1412	20055	48	5055	0	128	1128	53095	2	8	0	33991	0	0	0	619	8	0	0	2557	142	2	18	128	110	0	2753	52	1	0	4	104	558	0	0	12333	14239	1	14	102035	1	616	5039	96	0	2	9115	0	9	0	191	0	1	5	269	824	301	0	0	3	10	371	1	681	3	5045	0	422	13	1	163	18394	72	0	1280	0	506	1	786	3	127	3018	17	8753	0	438	0	2	0	44	10	600	246	333	45	3	0	1367	0	692	4041	274	0	1	9	0	183	0	0	979	29	1644	23	27
OTU_12	9518	115	1303	55	648	3	732	946	106	2629	3	22	70	141	1650	14341	42998	78	845	7349	41176	495	127	17	697	200	50	96	1924	2	59	325	7097	591	14	55	123	571	16	6665	7767	83	199	57	501	9174	15	88	8651	164	75	226	12766	20	318	608	1205	8	48	8645	0	6	0	37	337	254	85	206	16215	28	25	744	785	28	637	141	4537	2	63	498	834	19504	283	553	1831	418	420	579	45	727	0	116	63	64	194	395	1206	48	1791	95	35	24	48	1033	1223	95	2447	180	139	4	11	48	895	7291	134	337	423	1112	69	1260	22	48	1957	718	2082	99	460
