SD-8-Bacteria-1	SD-4-Bacteria-1	HFD-7-Bacteria-1	HFD-3-Bacteria-1	HFD-4-Bacteria-1	HFD-1-Bacteria-1	HFD-5-Bacteria-1	HFD-9-Bacteria-1	SD-1-Bacteria-1	SD-6-Bacteria-1	HFD-8-Bacteria-1	SD-9-Bacteria-1	SD-7-Bacteria-1	HFD-2-Bacteria-1	HFD-6-Bacteria-1	SD-3-Bacteria-1	SD-5-Bacteria-1	SD-2-Bacteria-1
OTU_384	3	0	0	0	0	0	0	0	2	0	1	0	0	4	8	0	0	3
OTU_263	8	4	0	0	5	0	3	2	1	0	0	3	103	0	0	4	5	11
OTU_329	3	0	3	0	10	1	38	2	0	1	2	2	0	0	8	10	0	4
OTU_195	8	0	0	0	0	0	0	0	10	4	0	7	386	0	0	0	0	18
OTU_30	1	753	2	2	0	1	0	1	0	12	0	4	17463	0	1	3623	92	1
OTU_122	15	47	8	18	8	0	88	25	17	10	18	5	293	11	55	1060	10	169
OTU_154	6	31	14	0	3	2	103	76	45	94	26	18	5	1	52	331	0	30
OTU_351	3	0	0	1	0	1	0	3	0	7	4	0	1	0	45	0	2	3
OTU_324	10	1	0	0	16	0	10	2	2	17	0	0	18	0	0	9	2	3
OTU_358	2	0	2	1	6	0	6	4	1	2	1	0	1	8	25	0	3	5
OTU_267	4	0	12	0	1	10	4	27	5	10	31	8	2	29	167	37	0	0
OTU_380	2	6	7	0	0	0	0	0	0	3	0	0	0	0	0	4	2	1
OTU_288	1	0	4	3	1	2	6	3	0	1	0	8	73	0	0	13	1	14
OTU_310	3	4	2	0	9	0	5	0	1	8	0	5	8	0	0	16	12	12
OTU_294	3	2	0	0	0	0	0	0	0	5	0	0	16	0	0	11	36	22
OTU_330	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	40
OTU_356	2	0	1	0	1	0	0	2	0	1	11	0	1	2	11	0	0	1
OTU_381	7	0	0	0	0	0	0	0	7	7	3	0	0	0	7	0	0	6
OTU_171	1	4	5	23	6	2	12	9	8	7	27	1	90	88	165	9	3	16
OTU_218	2	3	4	0	1	0	20	1	9	3	1	8	166	0	1	4	2	58
OTU_445	9	17	0	0	0	0	0	0	1	1	0	0	0	0	0	23	0	1
OTU_207	9	2	0	3	1	1	7	0	3	7	0	29	18	185	0	5	3	42
